Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
17:16:52:4116,1,0,0,0,0,0
17:16:52:4126,1,0,0,0,0,0
17:16:52:4136,1,0,0,0,0,0
17:16:52:4146,1,0,0,0,0,0
17:16:52:4156,1,0,0,0,0,0
17:16:52:4166,1,0,0,0,0,0
17:16:52:4176,1,0,0,0,0,0
17:16:52:4186,1,0,0,0,0,0
17:16:52:4196,1,0,0,0,0,0
17:16:52:4206,1,0,0,0,0,0
17:16:52:4216,1,0,0,0,0,0
17:16:52:4226,1,0,0,0,0,0
17:16:52:4236,1,0,0,0,0,0
17:16:52:4246,1,0,0,0,0,0
17:16:52:4256,1,0,0,0,0,0
17:16:52:4266,1,0,0,0,0,0
17:16:52:4276,1,0,0,0,0,0
17:16:52:4286,1,0,0,0,0,0
17:16:52:4296,1,0,0,0,0,0
17:16:52:4306,1,0,0,0,0,0
17:16:52:4316,1,0,0,0,0,0
17:16:52:4326,1,0,0,0,0,0
17:16:52:4336,1,0,0,0,0,0
17:16:52:4346,1,0,0,0,0,0
17:16:52:4356,1,0,0,0,0,0
17:16:52:4366,1,0,0,0,0,0
17:16:52:4376,1,0,0,0,0,0
17:16:52:4386,1,0,0,0,0,0
17:16:52:4396,1,0,0,0,0,0
17:16:52:4406,1,0,0,0,0,0
17:16:52:4416,1,0,0,0,0,0
17:16:52:4426,1,0,0,0,0,0
17:16:52:4436,1,0,0,0,0,0
17:16:52:4446,1,0,0,0,0,0
17:16:52:4456,1,0,0,0,0,0
17:16:52:4466,1,0,0,0,0,0
17:16:52:4476,1,0,0,0,0,0
17:16:52:4486,1,0,0,0,0,0
17:16:52:4496,1,0,0,0,0,0
17:16:52:4506,1,0,0,0,0,0
17:16:52:4516,1,0,0,0,0,0
17:16:52:4526,1,0,0,0,0,0
17:16:52:4536,1,0,0,0,0,0
17:16:52:4546,1,0,0,0,0,0
17:16:52:4556,1,0,0,0,0,0
17:16:52:4566,1,0,0,0,0,0
17:16:52:4576,1,0,0,0,0,0
17:16:52:4586,1,0,0,0,0,0
17:16:52:4596,1,0,0,0,0,0
17:16:52:4606,1,0,0,0,0,0
17:16:52:4616,1,0,0,0,0,0
17:16:52:4626,1,0,0,0,0,0
17:16:52:4636,1,0,0,0,0,0
17:16:52:4646,1,0,0,0,0,0
17:16:52:4656,1,0,0,0,0,0
17:16:52:4666,1,0,0,0,0,0
17:16:52:4676,1,0,0,0,0,0
17:16:52:4686,1,0,0,0,0,0
17:16:52:4696,1,0,0,0,0,0
17:16:52:4706,1,0,0,0,0,0
17:16:52:4716,1,0,0,0,0,0
17:16:52:4726,1,0,0,0,0,0
17:16:52:4736,1,0,0,0,0,0
17:16:52:4746,1,0,0,0,0,0
17:16:52:4756,1,0,0,0,0,0
17:16:52:4766,1,0,0,0,0,0
17:16:52:4776,1,0,0,0,0,0
17:16:52:4786,1,0,0,0,0,0
17:16:52:4796,1,0,0,0,0,0
17:16:52:4806,1,0,0,0,0,0
17:16:52:4816,1,0,0,0,0,0
17:16:52:4826,1,0,0,0,0,0
17:16:52:4836,1,0,0,0,0,0
17:16:52:4846,1,0,0,0,0,0
17:16:52:4856,1,0,0,0,0,0
17:16:52:4866,1,0,0,0,0,0
17:16:52:4876,1,0,0,0,0,0
17:16:52:4886,1,0,0,0,0,0
17:16:52:4896,1,0,0,0,0,0
17:16:52:4906,1,0,0,0,0,0
17:16:52:4916,1,0,0,0,0,0
17:16:52:4926,1,0,0,0,0,0
17:16:52:4936,1,0,0,0,0,0
17:16:52:4946,1,0,0,0,0,0
17:16:52:4956,1,0,0,0,0,0
17:16:52:4966,1,0,0,0,0,0
17:16:52:4976,1,0,0,0,0,0
17:16:52:4986,1,0,0,0,0,0
17:16:52:4996,1,0,0,0,0,0
17:16:52:5006,1,0,0,0,0,0
17:16:52:5016,1,0,0,0,0,0
17:16:52:5026,1,0,0,0,0,0
17:16:52:5036,1,0,0,0,0,0
17:16:52:5046,1,0,0,0,0,0
17:16:52:5056,1,0,0,0,0,0
17:16:52:5066,1,0,0,0,0,0
17:16:52:5076,1,0,0,0,0,0
17:16:52:5086,1,0,0,0,0,0
17:16:52:5096,1,0,0,0,0,0
17:16:52:5106,1,0,0,0,0,0
17:16:52:5116,1,0,0,0,0,0
17:16:52:5126,1,0,0,0,0,0
17:16:52:5136,1,0,0,0,0,0
17:16:52:5146,1,0,0,0,0,0
17:16:52:5156,1,0,0,0,0,0
17:16:52:5166,1,0,0,0,0,0
17:16:52:5176,1,0,0,0,0,0
17:16:52:5186,1,0,0,0,0,0
17:16:52:5196,1,0,0,0,0,0
17:16:52:5206,1,0,0,0,0,0
17:16:52:5216,1,0,0,0,0,0
17:16:52:5226,1,0,0,0,0,0
17:16:52:5236,1,0,0,0,0,0
17:16:52:5246,1,0,0,0,0,0
17:16:52:5256,1,0,0,0,0,0
17:16:52:5266,1,0,0,0,0,0
17:16:52:5276,1,0,0,0,0,0
17:16:52:5286,1,0,0,0,0,0
17:16:52:5296,1,0,0,0,0,0
17:16:52:5306,1,0,0,0,0,0
17:16:52:5316,1,0,0,0,0,0
17:16:52:5326,1,0,0,0,0,0
17:16:52:5336,1,0,0,0,0,0
17:16:52:5346,1,0,0,0,0,0
17:16:52:5356,1,0,0,0,0,0
17:16:52:5366,1,0,0,0,0,0
17:16:52:5376,1,0,0,0,0,0
17:16:52:5386,1,0,0,0,0,0
17:16:52:5396,1,0,0,0,0,0
17:16:52:5406,1,0,0,0,0,0
17:16:52:5416,1,0,0,0,0,0
17:16:52:5426,1,0,0,0,0,0
17:16:52:5436,1,0,0,0,0,0
17:16:52:5446,1,0,0,0,0,0
17:16:52:5456,1,0,0,0,0,0
